time,aghulas_box,aghulas_jet
1992-09-01,-101.229126,-92.684074
1992-10-01,-99.01147,-87.42982
1992-11-01,-94.20207,-95.68864
1992-12-01,-98.39744,-112.91475
1993-01-01,-95.15113,-99.21202
1993-02-01,-98.24733,-75.14654
1993-03-01,-116.401344,-95.25818
1993-04-01,-83.37234,-90.05884
1993-05-01,-72.50575,-90.67418
1993-06-01,-73.421486,-100.50233
1993-07-01,-65.63378,-80.93331
1993-08-01,-84.20428,-85.44115
1993-09-01,-110.88661,-121.979675
1993-10-01,-88.84582,-105.354965
1993-11-01,-125.40701,-136.16325
1993-12-01,-131.44928,-95.80452
1994-01-01,-89.27477,-94.90004
1994-02-01,-93.91493,-112.64425
1994-03-01,-86.61241,-98.795555
1994-04-01,-75.16645,-88.19993
1994-05-01,-94.267265,-111.748245
1994-06-01,-83.10849,-102.9885
1994-07-01,-82.56902,-103.25703
1994-08-01,-74.18226,-97.449425
1994-09-01,-100.587616,-106.420715
1994-10-01,-116.63139,-101.34439
1994-11-01,-74.89927,-84.5959
1994-12-01,-97.003136,-112.40705
1995-01-01,-89.26303,-110.47787
1995-02-01,-105.13566,-125.517685
1995-03-01,-100.80722,-112.57607
1995-04-01,-84.26881,-92.24596
1995-05-01,-101.76054,-108.99817
1995-06-01,-74.17805,-80.09019
1995-07-01,-76.37519,-88.20147
1995-08-01,-89.552,-95.49428
1995-09-01,-71.8498,-76.228065
1995-10-01,-67.19648,-78.18937
1995-11-01,-86.96374,-98.10095
1995-12-01,-97.891815,-109.69356
1996-01-01,-79.72938,-86.65328
1996-02-01,-108.47072,-107.68011
1996-03-01,-112.12333,-87.00919
1996-04-01,-84.79424,-95.05943
1996-05-01,-74.51635,-77.56519
1996-06-01,-66.558975,-85.55169
1996-07-01,-60.049347,-81.624794
1996-08-01,-74.39794,-84.71865
1996-09-01,-71.41519,-88.518745
1996-10-01,-57.30329,-76.418755
1996-11-01,-103.62198,-100.91594
1996-12-01,-101.45764,-84.42018
1997-01-01,-140.65039,-147.3218
1997-02-01,-61.993114,-82.169106
1997-03-01,-72.52459,-95.57726
1997-04-01,-93.93529,-107.95359
1997-05-01,-100.61508,-107.272896
1997-06-01,-85.83358,-106.73769
1997-07-01,-82.40402,-92.778595
1997-08-01,-68.90319,-70.377754
1997-09-01,-71.77852,-82.4696
1997-10-01,-77.715485,-100.26954
1997-11-01,-82.4659,-101.344734
1997-12-01,-64.23615,-88.54199
1998-01-01,-78.792496,-97.0679
1998-02-01,-89.40855,-102.91006
1998-03-01,-97.37786,-114.38055
1998-04-01,-79.36313,-73.29116
1998-05-01,-82.928474,-105.077805
1998-06-01,-93.133766,-121.48089
1998-07-01,-82.24096,-97.24601
1998-08-01,-76.00239,-80.54981
1998-09-01,-72.51737,-92.97037
1998-10-01,-100.366135,-96.27741
1998-11-01,-80.54729,-89.00986
