time,amoc
1993-01-01,21.043627
1993-02-01,16.834034
1993-03-01,16.281631
1993-04-01,18.194887
1993-05-01,15.816739
1993-06-01,16.026243
1993-07-01,19.957752
1993-08-01,20.920362
1993-09-01,21.675552
1993-10-01,21.996647
1993-11-01,25.676914
1993-12-01,21.973839
1994-01-01,25.497313
1994-02-01,23.844463
1994-03-01,19.381218
1994-04-01,21.737833
1994-05-01,19.179056
1994-06-01,18.657625
1994-07-01,20.25539
1994-08-01,20.912786
1994-09-01,20.273987
1994-10-01,17.881933
1994-11-01,20.133799
1994-12-01,18.885138
1995-01-01,20.966705
1995-02-01,23.358406
1995-03-01,20.203892
1995-04-01,17.137325
1995-05-01,14.886017
1995-06-01,19.10671
1995-07-01,21.254074
1995-08-01,20.736979
1995-09-01,22.120302
1995-10-01,25.938114
1995-11-01,22.537865
1995-12-01,17.449701
1996-01-01,19.34929
1996-02-01,21.666857
1996-03-01,20.520084
1996-04-01,20.643435
1996-05-01,20.613766
1996-06-01,22.551714
1996-07-01,23.195688
1996-08-01,22.776722
1996-09-01,21.733974
1996-10-01,22.480078
1996-11-01,23.056374
1996-12-01,16.40652
1997-01-01,18.65525
1997-02-01,23.64677
1997-03-01,19.089394
1997-04-01,13.120856
1997-05-01,20.488665
1997-06-01,17.987738
1997-07-01,20.907707
1997-08-01,24.390738
1997-09-01,21.268951
1997-10-01,19.256933
1997-11-01,21.359602
1997-12-01,17.803974
1998-01-01,19.984095
1998-02-01,13.626111
1998-03-01,22.131119
1998-04-01,21.467676
1998-05-01,16.643778
1998-06-01,20.296526
1998-07-01,24.143167
1998-08-01,25.444633
1998-09-01,21.62277
1998-10-01,20.695896
1998-11-01,21.218927
1998-12-01,21.17973
1999-01-01,20.36376
1999-02-01,16.361025
1999-03-01,15.052157
1999-04-01,14.154356
1999-05-01,10.98888
1999-06-01,16.838034
1999-07-01,16.546461
1999-08-01,16.743374
1999-09-01,17.160734
1999-10-01,17.039879
1999-11-01,18.592361
1999-12-01,14.631912
2000-01-01,15.937167
2000-02-01,18.634535
2000-03-01,12.783864
2000-04-01,14.946272
2000-05-01,13.584765
2000-06-01,16.21849
2000-07-01,15.728448
2000-08-01,17.181618
2000-09-01,15.671263
2000-10-01,16.49572
2000-11-01,18.093948
2000-12-01,16.956648
2001-01-01,13.103471
2001-02-01,20.389896
2001-03-01,12.600827
2001-04-01,17.458927
2001-05-01,14.502636
2001-06-01,15.697364
2001-07-01,20.69067
2001-08-01,18.359241
2001-09-01,16.842901
2001-10-01,18.125048
2001-11-01,16.674488
2001-12-01,12.862867
2002-01-01,17.865377
2002-02-01,17.406366
2002-03-01,18.69699
2002-04-01,17.508799
2002-05-01,17.884827
2002-06-01,16.698364
2002-07-01,19.569103
2002-08-01,19.28453
2002-09-01,16.303923
2002-10-01,13.650779
2002-11-01,19.435
2002-12-01,15.416185
2003-01-01,14.751052
2003-02-01,17.41741
2003-03-01,14.96942
2003-04-01,12.990155
2003-05-01,16.08417
2003-06-01,18.50147
2003-07-01,20.780735
2003-08-01,19.70104
2003-09-01,17.781286
2003-10-01,18.155994
2003-11-01,19.483093
2003-12-01,18.28033
2004-01-01,16.322138
2004-02-01,17.792105
2004-03-01,18.38757
2004-04-01,17.909985
2004-05-01,17.909006
2004-06-01,13.854469
2004-07-01,20.608376
2004-08-01,18.780952
2004-09-01,20.282433
2004-10-01,15.211351
2004-11-01,16.085264
2004-12-01,21.759232
2005-01-01,21.527998
2005-02-01,14.138733
2005-03-01,16.437033
2005-04-01,18.992645
2005-05-01,18.415602
2005-06-01,18.342491
2005-07-01,20.162497
2005-08-01,19.834774
2005-09-01,21.413816
2005-10-01,19.971687
2005-11-01,22.89705
2005-12-01,16.885313
2006-01-01,19.98651
2006-02-01,18.089504
2006-03-01,14.373469
2006-04-01,12.976471
2006-05-01,14.053331
2006-06-01,18.25697
2006-07-01,20.165817
2006-08-01,17.803045
2006-09-01,17.789633
2006-10-01,19.708374
2006-11-01,19.021362
2006-12-01,20.27315
2007-01-01,20.199959
2007-02-01,15.235575
2007-03-01,18.666815
2007-04-01,13.596029
2007-05-01,18.757017
2007-06-01,15.432915
2007-07-01,19.983654
2007-08-01,18.37735
2007-09-01,17.436352
2007-10-01,18.650951
2007-11-01,17.871952
2007-12-01,19.31568
2008-01-01,19.421356
2008-02-01,18.28371
2008-03-01,17.306997
2008-04-01,16.721083
2008-05-01,13.820692
2008-06-01,17.633358
2008-07-01,18.492102
2008-08-01,18.14957
2008-09-01,16.573183
2008-10-01,18.619837
2008-11-01,18.208206
2008-12-01,20.196287
2009-01-01,15.648851
2009-02-01,15.105632
2009-03-01,15.568699
2009-04-01,15.907563
2009-05-01,19.36287
2009-06-01,14.593329
2009-07-01,17.28841
2009-08-01,17.640247
2009-09-01,15.476068
2009-10-01,15.973371
2009-11-01,14.9383545
2009-12-01,12.379179
2010-01-01,10.062349
2010-02-01,10.711256
2010-03-01,10.768037
2010-04-01,13.195499
2010-05-01,16.50073
2010-06-01,18.458206
2010-07-01,17.87717
2010-08-01,17.119022
2010-09-01,21.197472
2010-10-01,19.817327
2010-11-01,15.440656
2010-12-01,7.1468177
2011-01-01,15.726152
2011-02-01,18.606459
2011-03-01,13.164505
2011-04-01,15.720636
2011-05-01,12.888551
2011-06-01,13.481917
2011-07-01,15.909365
2011-08-01,17.763474
2011-09-01,16.174402
2011-10-01,19.493979
2011-11-01,16.772009
2011-12-01,17.68165
2012-01-01,16.014324
2012-02-01,15.7786665
2012-03-01,18.569609
2012-04-01,13.487705
2012-05-01,12.408097
2012-06-01,11.219232
2012-07-01,16.415712
2012-08-01,16.227663
2012-09-01,13.939079
2012-10-01,15.426925
2012-11-01,16.012676
2012-12-01,18.281937
2013-01-01,14.973392
2013-02-01,15.629463
2013-03-01,6.0777125
2013-04-01,13.820291
2013-05-01,15.31376
2013-06-01,16.893099
2013-07-01,17.713146
2013-08-01,18.16627
2013-09-01,16.873537
2013-10-01,16.476955
2013-11-01,19.128538
2013-12-01,16.755129
2014-01-01,17.63514
2014-02-01,16.438972
2014-03-01,13.565308
2014-04-01,12.272948
2014-05-01,14.105897
2014-06-01,14.697399
2014-07-01,15.097731
2014-08-01,14.064772
2014-09-01,15.858141
2014-10-01,16.871183
2014-11-01,18.630642
2014-12-01,15.473151
2015-01-01,18.70439
2015-02-01,15.833339
2015-03-01,19.909622
2015-04-01,13.993023
2015-05-01,15.653637
2015-06-01,13.954399
2015-07-01,17.664402
2015-08-01,16.644451
2015-09-01,12.566755
2015-10-01,15.6067705
2015-11-01,18.807587
2015-12-01,16.602488
2016-01-01,13.044624
2016-02-01,19.821505
2016-03-01,16.160149
2016-04-01,12.776339
2016-05-01,14.076239
2016-06-01,15.696808
2016-07-01,19.331648
2016-08-01,17.741383
2016-09-01,18.778095
2016-10-01,18.183418
2016-11-01,17.282867
2016-12-01,18.937088
2017-01-01,16.986078
2017-02-01,16.22396
2017-03-01,17.455462
2017-04-01,12.978968
2017-05-01,13.761595
2017-06-01,16.15702
2017-07-01,18.02416
2017-08-01,17.629662
2017-09-01,18.686886
2017-10-01,19.49448
2017-11-01,17.576935
2017-12-01,17.330328
2018-01-01,23.945711
2018-02-01,21.136063
2018-03-01,8.555435
2018-04-01,14.8275385
2018-05-01,18.73387
2018-06-01,14.057604
2018-07-01,16.824638
2018-08-01,17.24591
2018-09-01,17.392994
2018-10-01,16.439754
2018-11-01,18.775427
2018-12-01,15.65386
2019-01-01,15.954819
2019-02-01,18.206057
2019-03-01,15.853285
2019-04-01,14.686568
2019-05-01,14.453163
2019-06-01,13.84608
2019-07-01,13.091489
2019-08-01,16.548168
2019-09-01,16.166897
2019-10-01,14.322785
2019-11-01,19.900826
2019-12-01,18.336891
2020-01-01,16.680285
2020-02-01,18.52527
2020-03-01,18.706078
2020-04-01,11.492972
2020-05-01,14.145508
2020-06-01,16.4835
2020-07-01,17.394073
2020-08-01,16.0823
2020-09-01,14.838345
2020-10-01,16.913843
2020-11-01,20.97818
2020-12-01,17.175278
2021-01-01,10.72645
2021-02-01,15.122652
2021-03-01,15.2987795
2021-04-01,10.245796
2021-05-01,14.522189
2021-06-01,18.304415
2021-07-01,18.858889
2021-08-01,16.14947
2021-09-01,15.350121
2021-10-01,16.495684
2021-11-01,13.571093
2021-12-01,15.589097
2022-01-01,12.251899
2022-02-01,15.892417
2022-03-01,15.747931
2022-04-01,12.588003
2022-05-01,11.291691
2022-06-01,14.997384
2022-07-01,18.68436
2022-08-01,15.156231
2022-09-01,14.016193
2022-10-01,14.540971
2022-11-01,17.241379
2022-12-01,10.00435
2023-01-01,15.6108265
2023-02-01,15.883053
2023-03-01,7.93976
2023-04-01,13.482668
2023-05-01,12.608875
2023-06-01,10.631077
2023-07-01,15.448119
2023-08-01,18.681288
2023-09-01,13.975413
2023-10-01,13.839832
2023-11-01,14.985531
2023-12-01,17.609167
